Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,SE AWD,Barcelona Red Metallic,29290,0.0,29290.0,At dealer,False,Available,7MUFBABG0PV006124,Toyota of Clermont,FL
2023,SE AWD,Sonic Silver/Jet Black roof,29290,0.0,29290.0,Port to dealer,False,,7MUFBABG0PV008410,East Coast Toyota,NJ
2023,SE AWD,Sonic Silver/Jet Black roof,29290,0.0,29290.0,At dealer,False,,7MUFBABG0PV014367,Lowe Toyota of Warner Robins,GA
2023,XSE AWD,Sonic Silver/Jet Black roof,31065,0.0,31065.0,At dealer,False,Available,7MUFBABG0PV014482,Toyota of Deerfield Beach,FL
2023,XSE AWD,Barcelona Red Metallic,31065,0.0,31065.0,Port to dealer,False,DealerHold,7MUFBABG0PV014529,Sheehy Toyota of Laurel,MD
2023,SE AWD,Wind Chill Pearl,29290,0.0,29290.0,Port to dealer,False,DealerHold,7MUFBABG0PV014546,Bernardi Toyota,MA
2023,SE AWD,Wind Chill Pearl,29290,0.0,29290.0,At dealer,False,Available,7MUFBABG0PV015468,Heyward Allen Toyota,GA
2023,XSE AWD,Wind Chill Pearl,31065,0.0,31065.0,At dealer,False,DealerHold,7MUFBABG0PV015647,Glockner Toyota,OH
2023,S AWD,Sonic Silver,27970,4966.0,32936.0,Factory to port,False,DealerHold,7MUFBABG0PV015681,Toyota of Turnersville,NJ
2023,S AWD,Sonic Silver,27970,0.0,27970.0,At dealer,False,Available,7MUFBABG0PV015793,Toyota of Deerfield Beach,FL
2023,XSE AWD,Sonic Silver/Jet Black roof,31065,0.0,31065.0,At dealer,False,Available,7MUFBABG0PV015843,Toyota of Vero Beach,FL
2023,XSE AWD,Blue Crush Metallic,31065,0.0,31065.0,Factory to port,False,Available,7MUFBABG0PV016247,West Kendall Toyota,FL
2023,XSE AWD,Jet Black,31065,0.0,31065.0,At dealer,False,Available,7MUFBABG0PV016393,Chatham Parkway Toyota,GA
2023,SE AWD,Barcelona Red Metallic,29290,0.0,29290.0,At dealer,False,Available,7MUFBABG0PV016619,Gene Messer Toyota,TX
2023,XSE AWD,Sonic Silver,31065,0.0,31065.0,At dealer,False,Available,7MUFBABG0PV016782,Bob Tyler Toyota,FL
2023,XSE AWD,Sonic Silver/Jet Black roof,31065,0.0,31065.0,At dealer,False,Available,7MUFBABG0PV016815,Toyota of Deerfield Beach,FL
2023,XSE AWD,Wind Chill Pearl,31065,0.0,31065.0,At dealer,False,Available,7MUFBABG0PV016989,Toyota of Deerfield Beach,FL
2024,XSE AWD,Wind Chill Pearl,31155,0.0,31155.0,At dealer,False,DealerHold,7MUFBABG0RV017062,Peterson Toyota,ID
2024,XSE AWD,Celestite,31155,0.0,31155.0,At dealer,False,Available,7MUFBABG0RV017286,Cloninger Toyota,NC
2024,Nightshade AWD,Jet Black,30215,0.0,30215.0,At dealer,False,,7MUFBABG0RV017322,Toyota of Warren,OH
2024,S AWD,Celestite,27970,0.0,27970.0,At dealer,False,DealerHold,7MUFBABG0RV017451,Laurel Toyota,PA
2024,SE AWD,Acidic Blast/Jet Black roof,29290,0.0,29290.0,At dealer,False,Available,7MUFBABG0RV017675,Hiland Toyota,IL
2024,XSE AWD,Blue Crush Metallic/Jet Black roof,31155,0.0,31155.0,At dealer,False,DealerHold,7MUFBABG0RV017983,Dan Hecht Chevrolet/Toyota,IL
2024,S AWD,Sonic Silver,27970,0.0,27970.0,At dealer,False,DealerHold,7MUFBABG0RV018082,Toyota of Midland,TX
2024,SE AWD,Jet Black,29290,0.0,29290.0,At dealer,False,DealerHold,7MUFBABG0RV018177,Lia Toyota of Rockland,NY
2024,XSE AWD,Jet Black,31155,0.0,31155.0,At dealer,False,Available,7MUFBABG0RV018227,South Dade Toyota,FL
