Year,Model,Color,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2022,TRD Pro 4x4,Lunar Rock,64625,0.0,64625.0,At dealer,False,Available,5TDEY5B18NS189874,Bayside Toyota,MD
2024,Limited 4x2,Supersonic Red,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA0RX002520,Modern Toyota,NC
2024,Limited 4x2,Supersonic Red,67275,0.0,67275.0,At dealer,False,Available,7SVAAAAA0RX002730,Butler Toyota,GA
2024,Capstone 4x2,Midnight Black Metallic,77865,3680.0,81545.0,At dealer,False,Available,7SVAAAAA0RX002811,Fred Haas Toyota Country,TX
2024,Platinum 4x2,Magnetic Gray Metallic,73465,0.0,73465.0,At dealer,False,DealerHold,7SVAAAAA0RX002887,Community Toyota,TX
2024,Limited 4x2,Blueprint,67275,0.0,67275.0,At dealer,False,Available,7SVAAAAA0RX002890,Cherokee County Toyota,GA
2024,Capstone 4x2,Wind Chill Pearl,77865,0.0,77865.0,At dealer,False,Available,7SVAAAAA0RX002906,AutoNation Toyota Weston,FL
2024,SR5 4x2,Midnight Black Metallic,60875,0.0,60875.0,At dealer,False,Available,7SVAAAAA0RX002923,Hendrick Toyota North Charleston,SC
2024,Platinum 4x2,Blueprint,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA0RX002954,Bill Penney Toyota,AL
2024,SR5 4x2,Midnight Black Metallic,60875,0.0,60875.0,Factory to port,False,Available,7SVAAAAA0RX002968,Central Florida Toyota,FL
2024,Platinum 4x2,Midnight Black Metallic,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA0RX002985,Rick Hendrick Toyota Sandy Springs,GA
2024,SR5 4x2,Lunar Rock,60875,0.0,60875.0,Factory to port,False,Available,7SVAAAAA0RX003019,Tuscaloosa Toyota,AL
2024,Platinum 4x2,Midnight Black Metallic,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA0RX003036,Gettel Toyota of Lakewood,FL
2024,Capstone 4x2,Magnetic Gray Metallic,77865,6495.0,84360.0,Factory to port,False,Available,7SVAAAAA0RX003084,Sterling McCall Toyota,TX
2024,Capstone 4x2,Blueprint,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA0RX51H862,Bill Penney Toyota,AL
2023,Limited 4x2,Celestial Silver Metallic,66265,14085.0,80350.0,At dealer,False,Available,7SVAAAAA1PX002281,Fred Haas Toyota World,TX
2023,Platinum 4x2,Blueprint,72465,13798.0,86263.0,At dealer,False,Available,7SVAAAAA1PX002359,Vic Vaughan Toyota of Boerne,TX
2024,Limited 4x2,Midnight Black Metallic,67275,0.0,67275.0,At dealer,False,Available,7SVAAAAA1RX002798,Walker-Jones Toyota,GA
2024,Platinum 4x2,Lunar Rock,73465,0.0,73465.0,At dealer,False,Available,7SVAAAAA1RX002851,AutoNation Toyota Thornton Road,GA
2024,SR5 4x2,Supersonic Red,60875,0.0,60875.0,At dealer,False,Available,7SVAAAAA1RX002865,Town & Country Toyota,NC
2024,Platinum 4x2,Celestial Silver Metallic,73465,1398.0,74863.0,Factory to port,False,Available,7SVAAAAA1RX002882,AutoNation Toyota Gulf Freeway,TX
2024,Platinum 4x2,Celestial Silver Metallic,73465,1995.0,75460.0,At dealer,False,Available,7SVAAAAA1RX002901,Cavender Toyota,TX
2024,SR5 4x2,Midnight Black Metallic,60875,0.0,60875.0,At dealer,False,,7SVAAAAA1RX002915,Courtesy Toyota,FL
2024,Platinum 4x2,Wind Chill Pearl,73465,0.0,73465.0,At dealer,False,DealerHold,7SVAAAAA1RX002929,Toyota of Deerfield Beach,FL
2024,Capstone 4x2,Celestial Silver Metallic,77865,0.0,77865.0,At dealer,False,Available,7SVAAAAA1RX002963,Prince Toyota,GA
2024,SR5 4x2,Midnight Black Metallic,60875,0.0,60875.0,Factory to port,False,Available,7SVAAAAA1RX002980,Milton Martin Toyota,GA
2024,Capstone 4x2,Celestial Silver Metallic,77865,4085.0,81950.0,At dealer,False,Available,7SVAAAAA1RX003000,Fred Haas Toyota World,TX
2024,Capstone 4x2,Midnight Black Metallic,77865,0.0,77865.0,Factory to port,True,DealerHold,7SVAAAAA1RX003031,Jim Hudson Toyota,SC
2024,Limited 4x2,Midnight Black Metallic,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA1RX003045,John Harvey Toyota,LA
2024,Capstone 4x2,Midnight Black Metallic,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA1RX003076,Don McGill Toyota,TX
2024,Capstone 4x2,Wind Chill Pearl,77865,0.0,77865.0,Factory to port,False,DealerHold,7SVAAAAA1RX51H854,Toyota of Vero Beach,FL
2024,Platinum 4x2,Wind Chill Pearl,73465,0.0,73465.0,Factory to port,False,DealerHold,7SVAAAAA2RX002504,Toyota of Deerfield Beach,FL
2024,Capstone 4x2,Magnetic Gray Metallic,77865,1495.0,79360.0,At dealer,False,DealerHold,7SVAAAAA2RX002812,Post Oak Toyota,OK
2024,Platinum 4x2,Lunar Rock,73465,0.0,73465.0,Factory to port,False,DealerHold,7SVAAAAA2RX002891,Fred Haas Toyota Country,TX
2024,Capstone 4x2,Magnetic Gray Metallic,77865,0.0,77865.0,At dealer,False,Available,7SVAAAAA2RX002969,Kirk Toyota,MS
2024,Capstone 4x2,Blueprint,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA2RX002972,AutoNation Toyota Mall of Georgia,GA
2024,Limited 4x2,Wind Chill Pearl,67275,6875.0,74150.0,At dealer,False,DealerHold,7SVAAAAA2RX002986,Red McCombs Toyota,TX
2024,Platinum 4x2,Supersonic Red,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA2RX003006,"Riverside Toyota, Inc.",GA
2024,Platinum 4x2,Wind Chill Pearl,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA2RX003023,Classic Toyota,TX
2024,Platinum 4x2,Wind Chill Pearl,73465,0.0,73465.0,Factory to port,False,,7SVAAAAA2RX003037,Coggin Toyota at the Avenues,FL
2024,Limited 4x2,Smoked Mesquite,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA2RX003040,Hendrick Toyota Apex,NC
2024,Platinum 4x2,Supersonic Red,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA2RX003054,Classic Toyota,TX
2024,Limited 4x2,Supersonic Red,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA2RX003068,Peter Boulware Toyota,FL
2024,Capstone 4x2,Midnight Black Metallic,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA2RX003085,Toyota of Fort Walton Beach,FL
2023,Platinum 4x2,Celestial Silver Metallic,72465,13798.0,86263.0,At dealer,False,Available,7SVAAAAA3PX002282,Vic Vaughan Toyota of Boerne,TX
2024,Limited 4x2,Smoked Mesquite,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA3RX002611,Palmer's Airport Toyota,AL
2024,Platinum 4x2,Magnetic Gray Metallic,73465,5000.0,78465.0,At dealer,False,Available,7SVAAAAA3RX002656,Keating Toyota,TX
2024,Limited 4x2,Supersonic Red,67275,0.0,67275.0,At dealer,False,Available,7SVAAAAA3RX002706,AutoNation Toyota South Austin,TX
2024,Limited 4x2,Supersonic Red,67275,0.0,67275.0,At dealer,False,Available,7SVAAAAA3RX002754,Butler Toyota,GA
2024,SR5 4x2,Midnight Black Metallic,60875,0.0,60875.0,At dealer,False,DealerHold,7SVAAAAA3RX002818,Toyota of Deerfield Beach,FL
2024,Capstone 4x2,Supersonic Red,77865,4085.0,81950.0,At dealer,False,Available,7SVAAAAA3RX002916,Fred Haas Toyota World,TX
2024,Limited 4x2,Supersonic Red,67275,4085.0,71360.0,Port to dealer,False,Available,7SVAAAAA3RX002964,Fred Haas Toyota World,TX
2024,SR5 4x2,Celestial Silver Metallic,60875,0.0,60875.0,Factory to port,False,,7SVAAAAA3RX002978,Courtesy Toyota,FL
2024,Capstone 4x2,Blueprint,77865,0.0,77865.0,At dealer,False,Available,7SVAAAAA3RX002981,Supreme Toyota of Hammond,LA
2024,Platinum 4x2,Wind Chill Pearl,73465,0.0,73465.0,Factory to port,False,DealerHold,7SVAAAAA3RX002995,Toyota of Vero Beach,FL
2024,Capstone 4x2,Magnetic Gray Metallic,77865,1098.0,78963.0,At dealer,False,Available,7SVAAAAA3RX003001,Toyota of Cedar Park,TX
2024,Capstone 4x2,Celestial Silver Metallic,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA3RX003015,Palm Beach Toyota,FL
2024,Capstone 4x2,Celestial Silver Metallic,77865,1495.0,79360.0,At dealer,False,DealerHold,7SVAAAAA3RX003029,Post Oak Toyota,OK
2024,Platinum 4x2,Supersonic Red,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA3RX003063,J. Allen Toyota,MS
2024,Limited 4x2,Celestial Silver Metallic,67275,0.0,67275.0,Factory to port,False,DealerHold,7SVAAAAA3RX003077,Family Toyota of Burleson,TX
2024,Capstone 4x2,Wind Chill Pearl,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA3RX003080,Jim Hudson Toyota,SC
2024,Capstone 4x2,Midnight Black Metallic,77865,2379.0,80244.0,Factory to port,False,Available,7SVAAAAA3RX51G205,Gullo Toyota of Conroe,TX
2024,Limited 4x2,Blueprint,67275,2379.0,69654.0,Factory to port,True,DealerHold,7SVAAAAA4RX002858,Gullo Toyota of Conroe,TX
2024,Platinum 4x2,Lunar Rock,73465,10497.0,83962.0,At dealer,False,Available,7SVAAAAA4RX002911,Vic Vaughan Toyota of Boerne,TX
2024,Platinum 4x2,Midnight Black Metallic,73465,0.0,73465.0,Factory to port,True,DealerHold,7SVAAAAA4RX002973,AutoNation Toyota Winter Park,FL
2024,Platinum 4x2,Wind Chill Pearl,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA4RX002987,Limbaugh Toyota,AL
2024,Limited 4x2,Ice Cap,67275,0.0,67275.0,Factory to port,True,DealerHold,7SVAAAAA4RX002990,Toyota of Easley,SC
2024,SR5 4x2,Celestial Silver Metallic,60875,0.0,60875.0,Factory to port,False,Available,7SVAAAAA4RX003007,Limbaugh Toyota,AL
2024,Platinum 4x2,Supersonic Red,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA4RX003041,Hendrick Toyota Apex,NC
2024,Platinum 4x2,Supersonic Red,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA4RX003072,Pat Lobb Toyota of McKinney,TX
2024,Platinum 4x2,Celestial Silver Metallic,73465,2895.0,76360.0,Factory to port,False,Available,7SVAAAAA4RX003086,Jim Norton Toyota,OK
2024,Platinum 4x2,Midnight Black Metallic,73865,0.0,73865.0,Factory to port,False,Available,7SVAAAAA4RX03A650,Toyota of Paris,TX
2024,Limited 4x2,Smoked Mesquite,67675,0.0,67675.0,Factory to port,False,Available,7SVAAAAA4RX03B538,Longo Toyota of Prosper,TX
2023,Limited 4x2,Midnight Black Metallic,66265,3020.0,69285.0,At dealer,False,Available,7SVAAAAA5PX002333,Price LeBlanc Toyota,LA
2023,Platinum 4x2,Wind Chill Pearl,72465,0.0,72465.0,At dealer,True,DealerHold,7SVAAAAA5PX002350,Community Toyota,TX
2023,Platinum 4x2,Celestial Silver Metallic,72465,6795.0,79260.0,At dealer,True,Available,7SVAAAAA5PX002395,Universal Toyota,TX
2024,Capstone 4x2,Magnetic Gray Metallic,77865,0.0,77865.0,At dealer,False,Available,7SVAAAAA5RX002562,Miracle Toyota,FL
2024,Platinum 4x2,Magnetic Gray Metallic,73465,4085.0,77550.0,At dealer,False,Available,7SVAAAAA5RX002612,Fred Haas Toyota World,TX
2024,Capstone 4x2,Midnight Black Metallic,77865,0.0,77865.0,At dealer,False,Available,7SVAAAAA5RX002772,Hendrick Toyota Concord,NC
2024,Limited 4x2,Supersonic Red,67275,0.0,67275.0,At dealer,False,,7SVAAAAA5RX002805,Cherokee County Toyota,GA
2024,SR5 4x2,Midnight Black Metallic,60875,0.0,60875.0,At dealer,False,DealerHold,7SVAAAAA5RX002979,Lugoff Toyota,SC
2024,Limited 4x2,Wind Chill Pearl,67275,0.0,67275.0,Factory to port,True,DealerHold,7SVAAAAA5RX003016,Panama City Toyota,FL
2024,Capstone 4x2,Celestial Silver Metallic,77865,1880.0,79745.0,Factory to port,False,Available,7SVAAAAA5RX003064,Toyota of Fort Worth,TX
2024,Capstone 4x2,Blueprint,77865,0.0,77865.0,Factory to port,False,DealerHold,7SVAAAAA5RX003078,Family Toyota of Burleson,TX
2024,Limited 4x2,Midnight Black Metallic,67275,0.0,67275.0,Factory to port,False,DealerHold,7SVAAAAA5RX51G142,Tuscaloosa Toyota,AL
2024,Capstone 4x2,Wind Chill Pearl,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA5RX51H582,World Toyota,GA
2024,Limited 4x2,Wind Chill Pearl,67275,2186.0,69461.0,Factory to port,False,DealerHold,7SVAAAAA5RX51H663,Toyota of Laredo,TX
2024,Limited 4x2,Supersonic Red,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA5RX51H775,Palmer's Airport Toyota,AL
2023,Platinum 4x2,Wind Chill Pearl,72465,995.0,73460.0,At dealer,False,DealerHold,7SVAAAAA6PX002356,Toyota of Slidell,LA
2023,Capstone 4x2,Midnight Black Metallic,76865,2495.0,79360.0,At dealer,False,DealerHold,7SVAAAAA6PX002468,Keating Toyota,TX
2024,Limited 4x2,Midnight Black Metallic,67275,0.0,67275.0,At dealer,False,Available,7SVAAAAA6RX002750,Lowe Toyota of Warner Robins,GA
2024,Limited 4x2,Midnight Black Metallic,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA6RX002781,Miracle Toyota,FL
2024,Limited 4x2,Wind Chill Pearl,67275,0.0,67275.0,At dealer,False,DealerHold,7SVAAAAA6RX002845,Pinehurst Toyota,NC
2024,Platinum 4x2,Lunar Rock,73465,0.0,73465.0,At dealer,False,,7SVAAAAA6RX002943,Mike Johnson's Hickory Toyota,NC
2024,Platinum 4x2,Midnight Black Metallic,73465,0.0,73465.0,Factory to port,False,DealerHold,7SVAAAAA6RX002991,Toyota of Deerfield Beach,FL
2024,Platinum 4x2,Wind Chill Pearl,73465,1995.0,75460.0,At dealer,False,DealerHold,7SVAAAAA6RX003011,Cavender Toyota,TX
2024,Limited 4x2,Celestial Silver Metallic,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA6RX003039,Gray-Daniels Toyota,MS
2024,Platinum 4x2,Wind Chill Pearl,73465,3245.0,76710.0,At dealer,True,DealerHold,7SVAAAAA6RX003042,Price LeBlanc Toyota,LA
2024,SR5 4x2,Supersonic Red,60875,0.0,60875.0,Factory to port,False,Available,7SVAAAAA6RX003073,Limbaugh Toyota,AL
2024,SR5 4x2,Celestial Silver Metallic,60875,0.0,60875.0,Factory to port,False,Available,7SVAAAAA6RX003087,Gettel Toyota of Bradenton,FL
2024,Limited 4x2,Blueprint,67675,0.0,67675.0,Factory to port,False,Available,7SVAAAAA6RX02A671,Silsbee Toyota,TX
2024,Capstone 4x2,Blueprint,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA7RX002627,Limbaugh Toyota,AL
2024,Limited 4x2,Blueprint,67275,0.0,67275.0,At dealer,False,Available,7SVAAAAA7RX002708,Butler Toyota,GA
2024,Limited 4x2,Magnetic Gray Metallic,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA7RX002756,Wesley Chapel Toyota,FL
2024,Capstone 4x2,Wind Chill Pearl,77865,8695.0,86560.0,At dealer,False,Available,7SVAAAAA7RX002949,All Star Toyota of Baton Rouge,LA
2024,Platinum 4x2,Supersonic Red,73465,0.0,73465.0,At dealer,False,,7SVAAAAA7RX002966,Mark Jacobson Toyota,NC
2024,Limited 4x2,Midnight Black Metallic,67275,0.0,67275.0,At dealer,False,Available,7SVAAAAA7RX002983,Fox Toyota of El Paso,TX
2024,Platinum 4x2,Midnight Black Metallic,73465,0.0,73465.0,Factory to port,False,Available,7SVAAAAA7RX003017,Stone Mountain Toyota,GA
2024,SR5 4x2,Lunar Rock,60875,0.0,60875.0,Factory to port,False,Available,7SVAAAAA7RX003020,Coggin Toyota at the Avenues,FL
2024,Platinum 4x2,Supersonic Red,73465,0.0,73465.0,Factory to port,False,DealerHold,7SVAAAAA7RX003034,Panama City Toyota,FL
2024,Platinum 4x2,Wind Chill Pearl,73465,0.0,73465.0,Factory to port,True,DealerHold,7SVAAAAA7RX003048,Jim Hudson Toyota,SC
2024,Limited 4x2,Wind Chill Pearl,67275,0.0,67275.0,Factory to port,False,DealerHold,7SVAAAAA7RX003065,Four Stars Toyota,OK
2024,Limited 4x2,Wind Chill Pearl,67675,0.0,67675.0,Factory to port,True,Available,7SVAAAAA7RX01B543,Greg Leblanc Toyota,LA
2024,Capstone 4x2,Supersonic Red,77865,0.0,77865.0,Factory to port,False,Available,7SVAAAAA7RX51F963,Town & Country Toyota,NC
2024,Limited 4x2,Midnight Black Metallic,67275,0.0,67275.0,Factory to port,False,Available,7SVAAAAA7RX51G045,Southern 441 Toyota,FL
